Data e hora,minuto,Temperatura (c),Umidade
22:03:57 03/05/2021,500,18.799999237060547,99.9000015258789
22:13:58 03/05/2021,510,18.899999618530273,99.9000015258789
22:23:59 03/05/2021,520,18.899999618530273,99.9000015258789
22:33:59 03/05/2021,530,19.0,99.9000015258789
22:44:00 03/05/2021,540,19.100000381469727,99.9000015258789
22:54:01 03/05/2021,550,19.200000762939453,99.9000015258789
23:04:01 03/05/2021,560,19.200000762939453,99.9000015258789
23:14:02 03/05/2021,570,19.299999237060547,99.9000015258789
23:24:02 03/05/2021,580,19.399999618530273,99.9000015258789
23:34:03 03/05/2021,590,19.5,99.9000015258789
23:44:04 03/05/2021,600,19.5,99.9000015258789
23:54:04 03/05/2021,610,19.600000381469727,99.9000015258789
00:04:05 04/05/2021,620,19.700000762939453,99.9000015258789
00:14:06 04/05/2021,630,19.799999237060547,99.9000015258789
00:24:06 04/05/2021,640,19.799999237060547,99.9000015258789
00:34:07 04/05/2021,650,19.899999618530273,99.9000015258789
00:44:07 04/05/2021,660,19.899999618530273,99.9000015258789
00:54:08 04/05/2021,670,20.0,99.9000015258789
01:04:11 04/05/2021,680,20.100000381469727,99.9000015258789
01:14:12 04/05/2021,690,20.100000381469727,99.9000015258789
01:24:12 04/05/2021,700,20.200000762939453,99.9000015258789
01:34:13 04/05/2021,710,20.299999237060547,99.9000015258789
01:44:14 04/05/2021,720,20.299999237060547,99.9000015258789
01:54:14 04/05/2021,730,20.399999618530273,99.9000015258789
02:04:15 04/05/2021,740,20.399999618530273,99.9000015258789
02:14:18 04/05/2021,750,20.600000381469727,99.9000015258789
02:24:19 04/05/2021,760,20.600000381469727,99.9000015258789
02:34:19 04/05/2021,770,20.600000381469727,99.9000015258789
02:44:20 04/05/2021,780,20.700000762939453,99.9000015258789
02:54:21 04/05/2021,790,20.700000762939453,99.9000015258789
03:04:21 04/05/2021,800,20.799999237060547,99.9000015258789
03:14:22 04/05/2021,810,20.799999237060547,99.9000015258789
03:24:22 04/05/2021,820,20.899999618530273,99.9000015258789
03:34:23 04/05/2021,830,21.0,99.9000015258789
03:44:24 04/05/2021,840,21.0,99.9000015258789
03:54:24 04/05/2021,850,21.100000381469727,99.9000015258789
04:04:28 04/05/2021,860,21.200000762939453,99.9000015258789
04:14:28 04/05/2021,870,21.100000381469727,99.9000015258789
04:24:29 04/05/2021,880,21.200000762939453,99.9000015258789
04:34:29 04/05/2021,890,21.200000762939453,99.9000015258789
04:44:30 04/05/2021,900,21.299999237060547,99.9000015258789
04:54:31 04/05/2021,910,21.299999237060547,99.9000015258789
05:04:34 04/05/2021,920,21.399999618530273,99.9000015258789
05:14:34 04/05/2021,930,21.399999618530273,99.9000015258789
05:24:35 04/05/2021,940,21.5,99.9000015258789
05:34:36 04/05/2021,950,21.5,99.9000015258789
05:44:36 04/05/2021,960,21.600000381469727,99.9000015258789
05:54:37 04/05/2021,970,21.600000381469727,99.9000015258789
06:04:38 04/05/2021,980,21.700000762939453,99.9000015258789
06:14:38 04/05/2021,990,21.700000762939453,99.9000015258789
06:24:39 04/05/2021,1000,21.700000762939453,99.9000015258789
06:34:39 04/05/2021,1010,21.799999237060547,99.9000015258789
06:44:40 04/05/2021,1020,21.899999618530273,99.9000015258789
06:54:41 04/05/2021,1030,21.899999618530273,99.9000015258789
07:04:41 04/05/2021,1040,21.899999618530273,99.9000015258789
07:14:42 04/05/2021,1050,22.0,99.9000015258789
07:24:43 04/05/2021,1060,22.0,99.9000015258789
07:34:43 04/05/2021,1070,22.100000381469727,99.9000015258789
07:44:44 04/05/2021,1080,22.100000381469727,99.9000015258789
07:54:44 04/05/2021,1090,22.100000381469727,99.9000015258789
08:04:45 04/05/2021,1100,22.200000762939453,99.9000015258789
08:14:46 04/05/2021,1110,22.200000762939453,99.9000015258789
08:24:46 04/05/2021,1120,22.299999237060547,99.9000015258789
08:34:47 04/05/2021,1130,22.299999237060547,99.9000015258789
